year,happiness,log_gdp_per_capita,social_support,life_expectancy,freedom_choices,generosity,corruption,positive_affect,negative_affect,ID
2009,4.177581787,9.084740639,0.680006921,64.55999756,0.441412747,-0.217770666,0.881887496,0.479002982,0.411279917,68
2010,4.367811203,9.112593651,0.660342336,64.80000305,0.459256709,-0.179985702,0.890629232,0.4367477,0.42649585,69
2011,4.260491371,9.164417267,0.705108464,65.04000092,0.464524716,-0.229737729,0.874601007,0.410856694,0.45907408,70
2012,4.319711685,9.23892498,0.676446438,65.27999878,0.501863778,-0.220027179,0.892544389,0.469874054,0.463855445,71
2013,4.277191162,9.275876045,0.723260045,65.51999664,0.504081845,-0.200980872,0.899796784,0.502904475,0.449949831,72
2014,4.453083038,9.315198898,0.738763511,65.76000214,0.506487131,-0.224627823,0.920390487,0.510197997,0.403984338,73
2015,4.34831953,9.350626945,0.722551048,66.0,0.551026642,-0.209386602,0.901462197,0.526852846,0.43794772,74
2016,4.325471878,9.357068062,0.709218323,66.27500153,0.610986948,-0.177760348,0.921421051,0.515989423,0.437227815,75
2017,4.287736416,9.434254646,0.697924912,66.55000305,0.613697052,-0.15476051,0.86468333,0.552406728,0.43714875,76
2005,7.340688229,10.66205788,0.96789217,69.80000305,0.9349733,0.2498977065499999,0.390415937,0.769770324,0.23801209,82
2007,7.285390854,10.69443417,0.965276182,69.95999908,0.890681982,0.341636926,0.512578487,0.762303889,0.215350643,83
2008,7.253757477,10.70945644,0.946635187,70.04000092,0.915733337,0.299932748,0.430810511,0.728992283,0.218427315,84
2010,7.450047016,10.7136488,0.95451957,70.19999695,0.932058573,0.311334163,0.366127402,0.761715531,0.220073208,85
2011,7.405616283,10.72338581,0.967029214,70.27999878,0.944586456,0.363977283,0.381771743,0.724132299,0.195323676,86
2012,7.195585728,10.74420547,0.944599032,70.36000061,0.935146272,0.268277258,0.368251741,0.728092372,0.214396909,87
2013,7.364169121,10.75245476,0.928205192,70.44000244,0.933379173,0.263427556,0.431539029,0.770147145,0.177142262,88
2014,7.288550377,10.7630024,0.92379874,70.51999664,0.922932267,0.313164353,0.44202137,0.739815295,0.245304301,89
2015,7.309060574,10.76990891,0.95186156,70.59999847,0.921871006,0.326532662,0.356554389,0.749503672,0.209636971,90
2016,7.250080109,10.78122902,0.942334235,70.67500305,0.922315717,0.23321636,0.398545116,0.735895514,0.236085787,91
2017,7.25703764,10.78726006,0.949957848,70.75,0.910550177,0.31202361,0.411346525,0.728149831,0.225360975,92
2006,7.122211456,10.83645248,0.936350405,69.5,0.941382349,0.296715409,0.490111172,0.746153116,0.173811689,99
2008,7.180953979,10.88117504,0.934592783,69.69999695,0.879069269,0.285624593,0.613625228,0.716296494,0.173194528,100
2010,7.302678585,10.85598373,0.914193332,69.90000153,0.895979762,0.125214159,0.546144843,0.710301936,0.155792549,101
2011,7.470512867,10.88142204,0.944156826,70.0,0.939355612,0.125893205,0.702721,0.672192097,0.14523755,102
2012,7.400688648,10.8836441,0.945142388,70.09999847,0.919703901,0.112118557,0.770585775,0.712149978,0.156674996,103
2013,7.498802662,10.87800503,0.949809194,70.19999695,0.921734452,0.162564397,0.678936899,0.725053191,0.162603319,104
2014,6.949999809,10.87678051,0.898920476,70.30000305,0.885026872,0.11192444,0.566931307,0.720965326,0.17014955,105
2015,7.07644701,10.87566471,0.928110301,70.40000153,0.900305152,0.093210064,0.55747962,0.747707725,0.164469033,106
2016,7.048071861,10.88454914,0.926318586,70.52500153,0.888513982,0.07412865,0.52364099,0.713450849,0.197423846,107
2017,7.293727875,10.89993763,0.906217813,70.65000153,0.890030563,0.127590865,0.518303812,0.698889375,0.18026872,108
2006,4.727870941,9.154187202,0.85441488,60.58000183,0.771528184,-0.239249572,0.774117172,0.468755603,0.275695145,115
2007,4.56815958,9.365991592,0.753246784,60.86000061,0.522046328,-0.211112499,0.870909989,0.474291265,0.284357488,116
2008,4.817189217,9.447179794,0.684267223,61.13999939,0.601043284,-0.033816166,0.715124726,0.560817659,0.22679542,117
2009,4.573725224,9.515311241,0.735970318,61.41999817,0.498138398,-0.091217078,0.753849745,0.522001684,0.233942479,118
2010,4.218610764,9.552669525,0.68700099,61.70000076,0.501071095,-0.12772648,0.858346641,0.516271651,0.271873325,119
2011,4.680469513,9.540638924,0.725193918,61.97999954,0.537484288,-0.110236593,0.795119047,0.521693528,0.258117318,120
2012,4.910771847,9.548772812,0.761873245,62.25999832,0.598859072,-0.145623028,0.763154805,0.523312867,0.266093403,121
2013,5.481178284,9.592310905,0.769690156,62.54000092,0.671956956,-0.173443988,0.698819578,0.516089082,0.242455453,122
2014,5.25153017,9.606963158,0.799433351,62.81999969,0.732772946,-0.213816494,0.65384531,0.502086222,0.219982117,123
2015,5.146774769,9.605931282,0.785702765,63.09999847,0.764289498,-0.203404874,0.615552545,0.520429969,0.206114277,124
2016,5.303894997,9.563261986,0.777271032,63.22499847,0.712573171,-0.209799886,0.606770813,0.508836508,0.191117197,125
2017,5.152279377,9.555447578,0.787039399,63.34999847,0.731030464,-0.230797321,0.652539015,0.511526883,0.19831866,126
2009,5.700523376,10.71381187,0.904143453,64.76000214,0.895931423,0.03108119,0.506103933,0.707422376,0.421889484,131
2010,5.936869144,10.72766399,0.877115071,65.0,0.862002909,-0.008172389,0.714620173,0.641039014,0.422670722,132
2011,4.82397604,10.7485981,0.90786773,65.23999786,0.869870365,-0.061170913,0.582522452,0.505992472,0.513719201,133
2012,5.027186871,10.77464581,0.911349595,65.48000336,0.681822896,-0.01609846518,0.437915266,0.559415758,0.380814761,134
2013,6.689711094,10.79785061,0.883780539,65.72000122,0.809205949,-0.002442712539999997,0.524703264,0.711107612,0.306209415,135
2014,6.165133953,10.80198097,0.88440679775,65.95999908,0.845363035875,0.018100968559999996,0.5731262945200002,0.7443769019699998,0.25262871926999986,136
2015,6.00737524,10.78836441,0.852550745,66.19999695,0.84952116,0.105753139,0.6399476444699999,0.65334475,0.302972108,137
2016,6.169673443,10.78903675,0.862700105,66.125,0.888691068,0.081555523,0.5701339657799996,0.736219883,0.283466339,138
2017,6.227320671,10.7981348,0.875747144,66.05000305,0.905858517,0.128364637,0.44027490761999993,0.754333019,0.289759517,139
2006,4.318909168,7.939726353,0.672002196,59.11999893,0.611664236,0.051904269,0.785916209,0.458654761,0.320792794,143
2007,4.607322216,7.997421265,0.514170706,59.63999939,0.604538321,0.023823204,0.806116879,0.484255552,0.313138157,144
2008,5.052278519,8.046941757,0.466553479,60.15999985,0.606012166,-0.060345136,0.801819921,0.544638395,0.231860757,145
2009,5.08285141,8.087361336,0.527813554,60.68000031,0.630931079,-0.091406956,0.776003957,0.505846858,0.223253846,146
2010,4.858481407,8.130166054,0.549398482,61.20000076,0.659005642,-0.033089165,0.773530483,0.495740086,0.292425215,147
2011,4.985649109,8.180617332,0.606459022,61.72000122,0.83799535,-0.086190157,0.757002652,0.501307309,0.234981537,148
2012,4.724443913,8.231357574,0.581765294,62.24000168,0.66768229,-0.051156636,0.764894426,0.537134707,0.183245391,149
2013,4.660161018,8.277083397,0.530139685,62.75999832,0.741518021,-0.032282341,0.742774189,0.491930902,0.246052667,150
2014,4.635564804,8.323469162,0.577065051,63.27999878,0.735512853,-0.114852585,0.789374709,0.5689977766800004,0.230678365,151
2015,4.633473873,8.375026703,0.601468265,63.79999924,0.814796269,-0.085095786,0.720600903,0.543083906,0.225753754,152
2016,4.5561409,8.431437492,0.649116933,63.92499924,0.874700487,-0.105295949,0.687853634,0.436627895,0.235022455,153
2017,4.309771061,8.482762337,0.712552786,64.05000305,0.896217167,-0.004369633,0.635014474,0.436497033,0.21350576,154
2006,5.657649994,9.489098549,0.917898655,60.06000137,0.707080483,-0.251650542,0.708274722,0.535119176,0.269400358,161
2007,5.616976261,9.576188087,0.857527673,60.61999893,0.667299509,-0.230481893,0.694849432,0.502456009,0.234981403,162
2008,5.463332176,9.676768303,0.903700352,61.18000031,0.639923871,-0.225739762,0.69649595,0.6359681118599998,0.245659292,163
2009,5.56413126,9.681225777,0.907777846,61.74000168,0.679292619,-0.208717331,0.67554307,0.544300735,0.223291501,164
2010,5.525923252,9.758502007,0.918000162,62.29999924,0.700064421,-0.168346778,0.70612061,0.531847715,0.208272159,165
2011,5.225307941,9.813235283,0.909887791,62.86000061,0.656010866,-0.173767433,0.671938658,0.493381172,0.249455392,166
2012,5.749043465,9.831532478,0.901961505,63.41999817,0.64524883,-0.223155677,0.657430232,0.515112579,0.180764526,167
2013,5.876466274,9.841900826,0.922505975,63.97999954,0.723431289,-0.183382422,0.653039157,0.545432627,0.206219658,168
2014,5.812400818,9.858454704,0.880258858,64.54000092,0.647184551,-0.054183707,0.68150872,0.575067043,0.208535567,169
2015,5.718907833,9.818076134,0.924072623,65.09999847,0.622753441,-0.097301282,0.668678164,0.545734644,0.184309959,170
